ID,price,yearBuilt,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,pool,spa
248,190000,1938,1808,2,2,1,0,0,0,0
249,275000,1989,1752,2,3,1,2,1,0,0
250,280000,2003,2278,4,5,1,1,1,0,0
251,265000,1920,2372,1,4,0,0,0,0,0
252,659000,1982,3016,5,4,1,3,1,0,0
253,529900,2021,3203,5,5,1,3,1,0,0
254,499900,2021,2930,4,4,1,3,1,0,0
255,249900,1964,2140,2,4,1,0,0,0,1
256,400000,1978,2072,3,4,1,2,1,1,0
257,195000,1975,2253,2,3,1,2,1,1,0
258,85000,1899,1178,1,2,0,0,0,0,0
259,749900,2000,4765,4,5,1,2,1,1,0
260,279000,1975,1512,3,3,1,2,1,0,0
261,774900,1999,7108,6,7,1,3,1,1,1
262,425000,1985,3137,3,3,1,3,1,0,0
263,799000,1997,3341,4,6,1,0,0,0,0
264,325000,1956,2404,2,4,1,0,1,0,0
265,249995,1899,1680,1,4,0,0,0,0,0
266,547000,2000,1901,3,4,1,2,1,0,1
267,725000,1973,6620,5,5,1,3,1,1,0
268,380000,1960,1794,2,3,1,0,0,0,0
269,600000,1995,5965,4,5,1,6,1,0,1
270,398500,1997,2863,4,5,1,2,1,0,0
271,347000,1993,3472,3,6,1,2,1,0,0
272,949000,1988,4788,3,3,1,0,1,1,0
273,685425,2021,3016,3,3,1,2,1,0,0
274,775850,2021,3752,5,4,1,2,1,0,0
275,760800,2021,3077,4,3,1,2,1,0,0
276,669900,1997,3920,4,5,1,2,1,1,1
277,74900,1960,960,0,0,0,0,0,0,0
278,240000,1920,902,2,2,0,0,0,0,0
279,1300000,1921,2700,3,2,1,2,1,0,0
280,325000,1913,1188,3,2,0,0,0,0,0
281,317000,2000,1332,1,1,1,1,1,0,0
282,185000,1913,860,1,1,0,0,0,0,0
283,234900,2000,900,1,1,1,1,1,0,0
284,689900,2013,4269,4,4,1,2,1,0,0
285,394000,2003,3205,4,4,1,2,1,0,0
286,675000,2005,3823,4,5,1,2,1,0,0
287,450000,1968,3286,4,5,1,0,0,0,0
288,545000,2003,4520,4,6,1,2,1,0,1
289,300000,1971,1412,2,3,1,0,1,0,0
290,310000,1955,1000,2,3,1,0,0,0,0
291,345900,1986,2480,3,4,1,2,1,1,0
292,350000,1966,2163,3,4,1,1,1,0,0
293,395000,1972,1812,2,3,1,4,1,0,0
294,525000,2006,2936,4,5,1,2,1,1,1
295,289000,2000,1928,3,3,1,1,1,0,0
296,380000,1984,2410,3,4,1,2,1,0,0
297,475000,2011,2980,3,5,1,2,1,0,0
298,462900,1981,1600,2,3,1,2,1,0,0
299,550000,2007,3110,3,5,1,2,1,0,0
300,320000,1987,1498,3,4,1,2,1,0,0
301,625000,2006,4224,5,5,1,3,1,0,0
302,319900,1963,1050,2,3,0,0,0,0,0
303,399000,1981,2270,3,4,1,2,1,0,0
304,425000,1977,2562,3,3,1,1,1,0,0
305,1200000,2018,3779,5,4,1,3,1,0,0
306,415900,1996,2102,3,3,1,2,1,0,0
307,345000,1959,1371,2,3,1,1,1,0,0
308,340000,2010,2157,4,4,1,2,1,0,0
309,369900,1963,2592,2,4,1,2,1,0,0
310,479900,1961,1974,2,3,0,0,0,0,0
311,299900,1965,1609,2,3,1,0,0,0,0
312,389000,2008,2824,3,4,1,0,0,0,0
313,185500,1975,2431,2,3,1,0,0,0,0
314,425000,2000,9884,0,0,1,0,0,0,0
315,239900,1988,2080,2,3,1,0,0,0,0
316,279900,2021,2010,2,4,1,0,0,0,0
317,478650,1979,1710,2,3,1,0,0,0,0
318,240000,1950,2442,2,2,1,1,1,0,1
319,449000,1965,3291,3,5,1,2,1,0,0
320,700000,1999,3365,4,4,1,3,1,0,0
321,560000,2000,2465,3,2,1,2,1,0,0
322,340628,2021,1457,2,2,1,2,1,0,0
323,356715,2021,2086,3,2,1,2,1,0,0
324,373349,2021,1941,3,2,1,2,1,0,0
325,321750,2021,1428,2,2,1,2,1,0,0
326,850000,2015,3150,3,3,1,2,1,0,0
327,235000,1976,1940,2,3,1,0,1,1,0
328,260000,2009,2524,3,4,1,2,1,0,0
329,990000,1940,4619,4,5,1,2,1,0,0
330,245000,2016,1739,3,3,1,2,1,0,0
331,399999,2009,3726,5,5,1,2,1,0,0
332,230000,1959,1782,2,3,1,0,0,0,0
333,195000,2007,1780,3,3,1,1,1,0,0
334,120000,1981,1306,3,2,0,0,0,0,0
335,215000,1995,1992,2,4,1,0,0,0,0
336,299900,2018,2720,3,4,1,2,1,0,0
337,143500,1946,1166,1,2,0,0,0,0,0
338,192500,2002,1445,2,3,1,1,1,0,0
339,339900,2018,2591,3,4,1,2,1,0,0
340,330000,1965,2717,3,4,0,0,0,0,0
341,141000,1966,1068,2,3,0,0,0,0,0
342,330000,1966,2184,3,3,1,0,0,0,0
343,259900,2007,2045,3,3,1,2,1,0,0
344,895000,1985,3178,4,5,1,2,1,1,0
345,295930,2021,2511,3,5,1,2,1,0,0
346,180000,1960,1300,2,3,1,0,0,0,0
347,37000,1930,1530,2,3,0,0,0,0,0
348,299900,1980,2400,3,4,1,2,1,0,0
349,250000,2011,2324,3,4,1,2,1,0,0
350,388400,1991,3146,3,4,1,0,0,0,0
351,279000,1966,1633,2,3,1,0,0,0,0
352,255000,2012,2851,3,5,1,2,1,0,0
353,334900,2013,2777,3,4,1,2,1,0,0
354,269900,2012,1911,2,3,1,2,1,0,0
355,194900,1964,1500,2,3,1,0,0,0,0
356,559900,1960,3700,3,3,1,0,0,1,0
357,725000,2018,3065,4,3,1,2,1,0,0
358,265500,1968,1470,3,3,1,0,0,0,0
359,275000,1985,1542,3,3,0,0,0,0,0
360,655000,2013,2535,4,3,1,2,1,0,0
361,399900,2008,1174,2,2,0,0,0,0,0
362,1209000,2016,3348,5,5,1,2,1,0,0
363,619900,1962,1686,2,3,1,0,0,0,1
364,550000,2011,2188,3,2,1,0,0,0,0
365,435000,1959,1208,2,3,1,0,0,0,0
366,269900,2005,933,2,2,1,1,1,0,0
367,1400000,2007,7323,7,6,1,2,1,0,0
368,605900,1982,2004,3,3,1,0,0,0,0
369,275000,1950,948,1,2,1,1,1,0,0
370,399500,2012,1457,2,2,1,1,1,1,0
371,469900,1956,1876,2,3,1,1,1,0,0
372,287500,2008,1188,2,2,1,0,1,0,0
373,514900,1965,2065,3,4,1,2,1,0,0
374,1150000,2016,5200,5,5,1,2,1,0,0
375,695000,1992,4881,5,5,1,2,1,0,1
376,649900,1969,3675,4,5,1,2,1,0,0
377,495000,1966,2211,3,3,1,2,1,0,0
378,450000,1959,1445,2,3,1,0,0,0,0
379,1350000,2001,6540,6,6,1,3,1,0,1
380,849000,2021,3110,4,5,1,2,1,0,0
381,215000,2006,745,1,1,1,0,1,1,0
382,189000,1930,1024,1,2,0,0,0,0,0
383,799000,2001,1720,4,3,1,2,1,0,0
384,520000,2002,1364,3,2,1,1,1,0,0
385,260000,2007,798,1,1,0,0,0,0,0
386,250000,1920,972,2,3,1,0,0,0,0
387,360000,2004,1260,3,3,1,0,0,0,0
388,109900,1930,926,1,2,0,0,0,0,0
389,485000,1920,2300,3,5,1,0,0,0,0
390,209500,1924,1150,2,4,0,0,0,0,0
391,379900,2008,885,1,1,1,1,1,1,0
392,275000,1960,680,1,1,1,1,1,0,0
393,299000,2001,800,1,1,1,0,0,0,1
394,850000,2008,3100,4,3,1,0,0,0,0
395,389900,2005,1436,2,2,1,0,0,0,1
396,469000,1950,1184,2,3,0,0,0,0,0
397,475000,1920,1791,2,3,0,0,0,0,0
398,525000,2002,1706,2,2,1,2,1,0,1
399,409900,2007,1240,2,2,1,0,1,1,0
400,595000,1980,1814,2,3,1,1,1,0,0
401,285000,1950,750,1,2,0,0,0,0,0
402,1210000,2005,4295,3,4,1,2,1,0,0
403,173900,1900,1872,2,3,0,0,0,0,0
404,19500,1900,1200,1,2,0,0,0,0,0
405,59500,1912,2005,2,6,0,0,0,0,0
406,26400,1930,1032,3,4,0,0,0,0,0
407,57000,1950,720,1,2,0,0,0,0,0
408,74900,1900,1818,1,3,0,0,0,0,0
409,235000,1969,2448,4,8,0,0,0,0,0
410,217000,2021,1495,3,3,0,0,0,0,0
411,170000,2021,1063,2,2,0,0,0,0,1
412,165500,2020,1063,2,3,0,0,0,0,1
413,134500,2020,740,1,2,0,0,0,0,0
414,174000,2020,1500,3,3,0,0,1,0,0
415,236599,2007,2384,3,5,1,2,1,0,0
416,249900,1957,1734,2,3,0,0,1,0,0
417,365000,2003,1680,2,6,1,0,1,0,0
418,243000,2017,2537,3,4,1,2,1,0,0
419,429500,2021,3071,3,5,1,0,1,0,0
420,347400,2021,2533,4,4,1,0,1,0,0
421,357400,2021,2633,3,4,1,0,1,0,0
422,129900,1954,2099,3,2,1,0,0,0,0
423,47000,1935,1128,1,3,0,0,0,0,0
424,15900,1930,1064,1,3,1,0,0,0,0
425,16500,1959,720,1,3,0,0,0,0,0
426,99500,1946,2416,2,4,0,0,0,0,0
427,38900,1977,1800,2,4,1,0,0,0,0
428,41900,1954,1258,1,3,0,0,0,0,0
429,39900,1980,1690,2,4,0,0,0,0,0
430,110000,1951,1661,2,3,0,0,0,0,0
431,20000,1940,528,2,2,0,0,0,0,0
